METRO,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Gulfport-Biloxi, MS Metro Area",508,414662,9.82,5.1,4.64,0.8,0.85,1.03,28.03,18.2,12.3,12.8,4.1,51058,68740
"Hagerstown-Martinsburg, MD-WV Metro Area",1225,285990,9.94,5,3.83,0.91,0.87,0.95,28.78,19.2,14.5,16.1,6.8,64118,80343
"Hammond, LA Metro Area",-9,133753,10.71,4.52,6.29,0.68,0.23,0.55,24.67,16,12,13.1,5,48745,67405
"Hanford-Corcoran, CA Metro Area",899,151090,14.98,7.33,6.36,0.77,0.32,0.66,20.43,19.4,14.8,14.9,5.9,61556,75449
"Harrisburg-Carlisle, PA Metro Area",437,574691,9.91,4.85,4.63,1.31,1.22,1.58,31.9,19.2,14.8,16.9,6.9,67219,87438
"Harrisonburg, VA Metro Area",1443,134696,11.59,4.31,14.14,1.46,0.79,0.8,26.61,19.5,14.3,14.3,5.2,59261,77843
"Hartford-East Hartford-Middletown, CT Metro Area",3580,1205842,10.19,5.23,6.62,1.68,1.42,2.63,31.76,15.4,12.8,18.3,9.9,78631,104850
"Hattiesburg, MS Metro Area",1096,168646,10.75,5.04,6.62,1.64,0.6,0.71,25.02,18.8,9.3,12.2,4.1,48231,67866
"Hickory-Lenoir-Morganton, NC Metro Area",-4,367982,9.01,5.01,3.88,0.62,0.43,0.71,27.36,18.7,12.7,12,3.2,49706,66724
"Hilton Head Island-Bluffton, SC Metro Area",175,219290,9.36,4.25,3.58,0.73,0.95,1.7,31.12,17.9,14.5,15.1,7.2,67723,95387
"Hinesville, GA Metro Area",1239,81275,15.71,4.86,5.06,1.28,0.47,0.28,28.42,21.3,12.8,11.6,3.1,50588,61782
"Homosassa Springs, FL Metro Area",-34,147938,6.36,3.72,2.31,0.62,0.54,1.22,34.55,19,10.6,9.4,3.6,45689,61717
"Hot Springs, AR Metro Area",348,99043,8.17,4.11,3.68,0.66,0.6,0.93,28.23,21.6,11.5,9.1,4.1,48150,63905
"Houma-Thibodaux, LA Metro Area",150,209277,10.16,5.32,3.32,0.68,0.33,0.61,24.97,15.7,13.9,12.8,5.6,53267,72628
"Huntington-Ashland, WV-KY-OH Metro Area",-799,359481,9.18,4.88,4.79,1.02,0.35,0.67,26.88,18.4,11.8,11.3,3.8,48085,64579
"Huntsville, AL Metro Area",2644,464607,10.38,5.21,6.32,1.65,2.13,4.75,32.27,15.8,12.7,16.3,8.7,66450,88920
"Idaho Falls, ID Metro Area",773,148811,9.83,6.38,4.01,0.84,0.66,2.29,27.91,20.8,14.8,15.3,5.2,61877,79689
"Indianapolis-Carmel-Anderson, IN Metro Area",3841,2050933,10.25,5.6,4.12,1.22,1.06,1.69,30.29,18.6,13.1,15.7,6.7,63545,87488
"Iowa City, IA Metro Area",2138,172919,14.67,4.09,14.28,4.36,1.43,1.96,34.65,16.5,12.4,16.4,6.5,63131,86210
"Ithaca, NY Metro Area",971,102237,15.65,3.34,20.83,6.21,1.77,2.86,34.39,18.4,11.8,13.6,6.7,61361,85655
"Jackson, MI Metro Area",269,158174,10.15,5.14,4.67,0.56,0.43,1.17,28.77,19.3,13.5,12.9,5.1,54511,72251
"Jackson, MS Metro Area",942,596287,10.12,5.22,5.43,1.51,0.66,0.89,25.56,17.9,12.5,12.4,5.4,53639,74991
"Jackson, TN Metro Area",-30,178601,9.09,5.15,5.16,0.61,0.41,0.45,26.02,19.5,11.5,11.6,3,48146,62738
"Jacksonville, FL Metro Area",6572,1533796,10.35,4.98,5.06,1.12,1.19,1.4,30.36,18.9,13.6,15.1,6.7,63064,86676
"Jacksonville, NC Metro Area",3553,198377,23.03,3.81,6.72,1.32,0.44,0.67,27.64,20.1,14.5,12.2,3.2,51560,64456
"Janesville-Beloit, WI Metro Area",-9,162532,9.26,5.6,4.56,0.73,0.42,1.01,30.66,19.5,14.7,14.9,5.5,59519,73142
"Jefferson City, MO Metro Area",238,151094,10.39,5.18,4.43,0.71,0.97,0.81,28.31,21.3,14.5,16.4,4.9,60586,75828
"Johnson City, TN Metro Area",58,203147,9.91,4.07,5.81,1.63,0.81,0.94,30,17.9,10.9,10.7,3.7,45970,64118
"Johnstown, PA Metro Area",-215,131611,8.74,4.59,4.95,0.87,0.46,0.71,29.51,18.2,12.2,12.6,3.1,47644,62501
"Jonesboro, AR Metro Area",58,132828,11.03,5.17,5.95,1.53,0.55,0.53,26.59,18.4,11.1,11.5,3.5,47610,68530
"Joplin, MO Metro Area",-60,178816,9.99,5.16,4.27,0.61,0.43,0.61,26.51,20.8,12.8,10.5,3.2,50244,67373
"Kahului-Wailuku-Lahaina, HI Metro Area",1189,166657,8.55,4.35,2.88,0.83,0.75,1.12,26.74,16,14.7,19.7,10.4,84363,107870
"Kalamazoo-Portage, MI Metro Area",2932,264322,12.84,4.67,10.08,2.03,0.89,1.98,31.93,17.6,12.6,15,6.5,58836,82696
"Kankakee, IL Metro Area",-763,109924,10.01,5.38,6.36,0.74,0.41,0.62,26.76,18.6,13,16.8,5.3,59370,75029
"Kennewick-Richland, WA Metro Area",1258,294396,10.58,6.23,3.94,0.87,0.73,1.93,27.7,19.5,13.9,18.1,8,70545,90276
"Killeen-Temple, TX Metro Area",5086,452428,13.55,5.51,6.39,1.25,0.76,0.47,27.72,20.1,13.2,14.4,4.2,55306,71862
"Kingsport-Bristol, TN-VA Metro Area",-507,307267,8.52,4.78,3.31,0.6,0.65,1.2,28.69,18.3,11.5,10.8,3.5,46685,64646
"Kingston, NY Metro Area",-160,178371,9.87,4.23,5.87,1.18,0.9,1.01,31.64,17.1,12.8,16.6,7.7,65306,88477
"Knoxville, TN Metro Area",2905,861872,10.06,4.75,5.38,1.26,0.84,1.95,30.02,18.3,13.1,13.9,5.4,56857,78504
"Kokomo, IN Metro Area",81,82486,9.07,5.3,3.58,0.35,0.4,1.82,30.81,20.2,13.1,14.7,4.3,56387,69666
"La Crosse-Onalaska, WI-MN Metro Area",36,136838,11.53,4.58,10,1.49,1.06,1.19,32.95,20.5,13.3,15.2,4.9,60165,80307
"Lafayette-West Lafayette, IN Metro Area",3001,230353,15.8,4.37,15.31,4.24,1.11,2.71,28.59,18.2,11.6,13.7,4.8,52826,71835
"Lafayette, LA Metro Area",-1385,490220,10.43,5.41,4.43,0.78,0.49,0.91,25.92,16.2,12.8,13.8,5.1,52827,74136
"Lake Charles, LA Metro Area",-588,209821,10.33,5.02,4.35,0.74,0.32,1.01,27.29,17.5,11.7,13.2,5.9,52986,74352
"Lake Havasu City-Kingman, AZ Metro Area",1611,210998,7.7,3.62,2.51,0.66,0.45,0.55,31.96,20.1,11.9,10,3.3,47686,63434
"Lakeland-Winter Haven, FL Metro Area",3163,705735,9.56,5.14,4.36,0.77,0.66,0.9,25.02,19.6,12.4,11.9,3.9,51535,69535
"Lancaster, PA Metro Area",465,543050,9.7,4.7,3.99,1.03,0.64,1.07,29.19,19.7,15.7,18.6,6.1,69588,88566
"Lansing-East Lansing, MI Metro Area",2138,547786,11.77,4.86,10.1,1.96,1.23,1.57,31.16,19.2,13.6,15.1,5.8,60278,78996
"Laredo, TX Metro Area",-445,274847,10.93,7.36,5.63,0.77,0.31,0.81,17.18,18.5,11.5,13.5,3.4,50296,65605
"Las Cruces, NM Metro Area",2206,217696,12.14,5.63,9.45,1.54,0.83,1.63,25.9,17.9,9.5,12.1,3.3,44024,60780
"Las Vegas-Henderson-Paradise, NV Metro Area",12906,2228866,10.61,5.24,4.31,1.04,0.7,1.18,28.86,18.4,13.6,15,6,61048,83343
"Lawrence, KS Metro Area",217,121304,16.61,3.78,17.04,3.94,1.15,2.11,34.71,17.6,12.3,14.9,7,61020,81550
"Lawton, OK Metro Area",1754,127157,14.05,5.32,5.1,0.96,0.74,0.46,26.1,18.2,13.7,14.7,3,52219,70509
"Lebanon, PA Metro Area",-565,140410,8.94,5.11,3.55,0.76,0.63,0.61,27.91,20.2,15.3,16.1,5.3,61632,76649
"Lewiston-Auburn, ME Metro Area",37,107958,9.22,4.64,5.42,0.78,0.46,0.77,33.09,18.2,12.5,15,5.1,55002,71114
"Lewiston, ID-WA Metro Area",-435,63104,8.99,4.59,4.1,0.44,0.43,1.07,32.14,17.1,14.8,13.6,5.4,55657,73339
"Lexington-Fayette, KY Metro Area",2720,514273,11.53,4.56,7.32,2.25,0.91,2.14,31.21,17.5,13.1,15.2,6.2,60769,84976
"Lima, OH Metro Area",-1,102808,10.29,5.53,5.4,0.61,0.5,0.59,28.88,19.7,13.7,11.8,3.5,51892,65522
"Lincoln, NE Metro Area",3201,333193,12.92,4.83,9.97,2.06,0.88,1.37,33.65,19.6,13.4,16.3,6,62883,82659
"Little Rock-North Little Rock-Conway, AR Metro Area",-955,740602,10.34,5.07,4.83,1.48,0.94,1,28.78,18,12.4,14,5.3,55983,77700
"Logan, UT-ID Metro Area",219,140072,13.88,7.01,12.61,1.49,0.86,1.46,28.06,20.1,15.3,14.5,5.1,60466,76881
"Longview, TX Metro Area",59,285554,9.88,5.36,3.96,0.52,0.47,0.86,24.23,19.1,12.6,13,4.8,53524,72804
"Longview, WA Metro Area",13,108399,8.87,5.02,4.19,0.61,0.45,1.02,30.42,18.9,14.1,12.8,6.6,58791,75881
"Louisville/Jefferson County, KY-IN Metro Area",710,1262287,9.98,5.17,4.13,1.21,0.92,1.31,29.62,18.8,13.4,15,6.2,60891,82683
"Lubbock, TX Metro Area",3658,320031,13.61,5.15,11.81,2.28,0.5,1.09,28.34,17.4,12,13.8,4.8,53003,74545
"Lynchburg, VA Metro Area",1838,262937,10.71,4.34,8.05,1.91,0.62,1.22,28.34,19,14.5,13.9,4.6,56983,72448
"Macon-Bibb County, GA Metro Area",1010,229565,9.49,5.25,5.41,1.22,0.89,0.76,26.54,15.6,11.3,12,4.2,46083,67092
"Madera, CA Metro Area",109,155925,9.79,7.26,5.3,0.64,0.21,0.41,20.64,17.9,14.3,16.6,5.3,61924,77625
"Madison, WI Metro Area",1929,660212,12.54,4.56,7.74,2.59,1.82,2.24,35.68,18,14.3,18.7,8,73807,95827
"Manchester-Nashua, NH Metro Area",4239,415305,10.37,4.99,4.52,1.41,1.91,2.94,33.16,16.4,13.4,20.1,10.4,82099,104497
"Manhattan, KS Metro Area",-550,131571,19.93,4.04,15.42,2.94,0.85,1.25,31.51,20.9,11.5,12.9,5.3,54488,70955
"Mankato, MN Metro Area",-553,101544,13.96,4.11,13.47,1.17,0.82,0.43,32.34,17.7,15.4,16.7,5.6,63288,81812
"Mansfield, OH Metro Area",272,121043,10.46,4.95,3.26,0.65,0.37,0.86,28.8,19.8,13.2,11.2,3.2,49186,62332
"McAllen-Edinburg-Mission, TX Metro Area",-877,861137,10.63,7.44,5.41,0.75,0.41,0.75,16.69,16.6,9.4,11.2,3.4,41846,59647
"Medford, OR Metro Area",602,218781,9.08,4.19,4.01,0.78,0.57,0.87,33.23,19.5,13.1,13.2,4.8,56327,76999
"Memphis, TN-MS-AR Metro Area",1121,1343150,10.09,5.56,4.49,1.35,0.74,1.12,26.02,17.3,11.7,13.4,5.3,53896,78029
"Merced, CA Metro Area",163,273661,11.56,6.86,7.49,0.77,0.25,0.4,20.46,19.9,12.1,13.7,4.9,56330,76432
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5013,6129858,9.75,4.89,5.52,1.49,0.88,2.13,28.26,17.2,12,13.7,6.1,59030,89252
"Michigan City-La Porte, IN Metro Area",1285,110026,11.07,5.06,2.67,0.41,0.44,0.77,29.27,19.8,14,13.9,5.2,57010,71180
"Midland, MI Metro Area",-324,83445,9.4,5.06,4.61,0.94,0.89,3.37,32.32,18.4,14.1,14.7,6.6,64078,87407
"Midland, TX Metro Area",1661,176914,12.22,5.64,4.22,1.08,0.33,1.98,25.62,15.9,13.4,18.2,10.2,82768,113424
"Milwaukee-Waukesha, WI Metro Area",-571,1576525,10.1,5.29,4.94,1.3,1.02,1.93,31.19,17.2,13,15.9,7.1,63739,88332
"Missoula, MT Metro Area",1441,119062,13.24,4.2,8.83,2.11,0.81,1.14,35.2,18.8,12.9,13.3,5.6,56247,77859
"Mobile, AL Metro Area",-2110,430313,9.9,5.35,4.45,0.83,0.56,1.21,25.09,18.1,11.2,12.3,4.5,49370,67199
"Modesto, CA Metro Area",1183,546235,10.84,6.31,5.92,0.71,0.41,0.58,23.62,18.6,13.3,16,6.6,62873,82369
"Monroe, LA Metro Area",-594,202138,9.75,5.3,4.91,0.72,0.56,0.67,23.1,16.2,9.2,10.6,4.6,43212,63578
"Monroe, MI Metro Area",-179,150000,8.9,5.22,4.38,0.85,0.46,1.57,30.77,19.5,14.1,18.2,6.6,65453,81333
"Montgomery, AL Metro Area",1558,373552,10.09,5.13,4.9,1.4,1.35,1.11,27.25,18.7,11.9,14,4.7,54250,73326
"Morgantown, WV Metro Area",1454,139806,15.57,3.57,12.84,3.43,0.9,2.02,29.91,16.7,9.8,14.9,6,53681,79075
"Morristown, TN Metro Area",-139,141909,8.65,5.25,3.79,0.48,0.37,0.72,24.5,18.8,12.5,11,2.7,46798,62092
"Mount Vernon-Anacortes, WA Metro Area",572,127442,9.28,4.74,3.49,0.7,0.62,1.52,32.14,19.1,15.7,17.9,6.9,71021,89293
"Muncie, IN Metro Area",897,114461,12.47,4.25,14.06,1.56,0.94,0.42,30.32,18.4,12.1,10.8,2.3,45910,60910
"Muskegon, MI Metro Area",-144,173679,9.83,5.33,3.55,0.42,0.66,0.87,26.49,20.5,13.8,13.2,3.2,53478,68850
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",-238,481489,7.67,4.1,4,0.57,0.67,0.98,31.66,20.7,12.8,12.7,3.9,53832,70873
"Napa, CA Metro Area",-178,138572,9.4,5.32,5.91,1.02,0.72,1.5,30.05,14.4,11.9,18.6,11.8,92219,129566
"Naples-Marco Island, FL Metro Area",1633,379345,7.5,4.1,3.55,0.74,0.92,2.34,32,17.2,13,14.5,7.7,70217,114375
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",11719,1904186,10.89,5.2,4.67,1.49,1.14,1.48,30.84,18.7,14,16.8,6.9,68406,93607
"New Bern, NC Metro Area",-375,124416,12.1,4.24,4.65,0.74,0.54,1.32,29.67,18.1,13.5,12.6,4.1,52345,68952
"New Haven-Milford, CT Metro Area",1105,855733,10.13,5.31,6.18,1.94,1.09,1.71,30.27,16.3,12.6,16.6,8.9,71370,97361
"New Orleans-Metairie, LA Metro Area",-2910,1271651,9.99,4.92,4.78,1.36,0.7,1.42,27.8,16.8,11.7,13.3,6.2,54388,78882
"Niles, MI Metro Area",1103,153797,8.91,5.09,3.72,1.26,0.64,1.63,29.82,17.4,12.2,12.8,5,52500,73676
"North Port-Sarasota-Bradenton, FL Metro Area",3491,821613,6.92,3.9,3.25,0.64,0.89,1.81,34,18.5,13,15.1,5.9,62438,92253
"Norwich-New London, CT Metro Area",190,266868,11.26,5.31,4.81,1.16,1,2.85,33.12,17.5,13.4,18.5,9.5,75831,99719
"Ocala, FL Metro Area",1969,360210,7.86,4.39,3.17,0.64,0.48,0.96,30.8,19.3,11.3,9.8,3.2,46587,64245
"Ocean City, NJ Metro Area",-92,92701,8.05,3.97,3.09,0.83,0.84,1.19,36.07,17.3,13.8,16.7,8.2,72385,99103
"Odessa, TX Metro Area",34,162067,12.73,5.92,4.17,0.75,0.26,0.79,21.53,17.7,12.9,16.6,8.4,63096,83130
"Ogden-Clearfield, UT Metro Area",1227,672948,10.69,6.63,5.41,1,1.01,1.56,27.83,19.4,17.1,21.2,8.4,78680,94487
"Oklahoma City, OK Metro Area",3937,1397040,11.17,5.15,5.72,1.43,0.82,1.2,28.58,18.8,13.2,14.8,5.8,60476,82061
"Olympia-Lacey-Tumwater, WA Metro Area",2987,284698,10.34,4.76,5.05,1.07,1.23,1.5,33.85,17.6,16,20.4,7.8,75867,90625
"Omaha-Council Bluffs, NE-IA Metro Area",-712,940163,10.46,5.62,4.92,1.81,1.3,1.17,31.45,18.4,14.3,17.5,7.6,69439,90823
"Orlando-Kissimmee-Sanford, FL Metro Area",11575,2560260,11.08,5.06,6.33,1.43,1.07,2.05,29.3,18.9,13.3,15,5.8,61229,83866
"Oshkosh-Neenah, WI Metro Area",1822,170924,11.55,4.78,7.5,0.88,0.69,1.46,32.87,19.6,14.3,15.6,4.9,59947,78117
"Owensboro, KY Metro Area",-628,118951,8.95,5.25,3.47,0.81,0.59,0.82,27.68,18.5,13.6,14.6,4.3,54946,73321
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",-645,845599,10.35,5.74,6.32,0.99,1.09,2.1,26.85,14.4,14.1,19.3,11.1,89295,117576
"Palm Bay-Melbourne-Titusville, FL Metro Area",1869,594001,8.55,4.55,4.64,1.09,1.39,3.61,33.32,19.4,12.2,14.9,5.7,59359,80759
"Panama City, FL Metro Area",-417,180076,10.38,4.71,4.42,0.96,0.85,1.79,31.81,20.4,14.6,12.1,5.4,56483,73774
"Parkersburg-Vienna, WV Metro Area",-103,90151,8.23,4.84,3.21,0.73,0.5,0.98,29.48,18.5,12,11.3,3.9,48369,64294
"Pensacola-Ferry Pass-Brent, FL Metro Area",2928,496278,11.34,4.59,5.53,1.02,0.96,1.29,30.63,19.1,13.5,14.6,5.3,58759,77111
"Peoria, IL Metro Area",-1461,403747,9.28,5.08,4.5,0.87,0.82,2,29.64,19,13.3,14.9,6.3,60094,79932
"Phoenix-Mesa-Chandler, AZ Metro Area",22716,4860338,10.84,5.43,5.09,1.22,1.1,1.9,29.85,18.6,13.6,16.5,6.9,67068,91834
"Pine Bluff, AR Metro Area",533,89464,11.57,5.62,4.99,0.83,0.43,0.25,20.84,18.6,9.8,8.9,2.8,41856,57040
"Pittsburgh, PA Metro Area",-1019,2324447,9.8,4.43,4.57,1.49,1.44,2.21,33.53,17.7,13,15.6,6.4,61969,84195
"Pittsfield, MA Metro Area",-217,125927,8.7,4.31,5.9,0.78,1.04,1.49,34.48,17.6,13.3,15.3,6.6,62166,83739
"Pocatello, ID Metro Area",-31,94377,10.7,5.72,6.73,1.54,0.47,1.17,29.31,19.6,12.4,12.4,4.7,51914,67650
"Port St. Lucie, FL Metro Area",1791,481334,8.06,4.8,3.81,0.93,0.68,1.58,31.03,19.1,12.4,14.2,5.2,58039,82682
"Portland-South Portland, ME Metro Area",2911,536314,9.3,4.58,4.61,1.3,1.05,1.73,35.24,17.8,15.1,18.5,7.6,72552,92558
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",15112,2472774,10.74,4.88,4.9,1.35,1.38,2.58,33.53,17.2,13.6,19,9.1,77511,101594
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",-2842,675601,10.12,5.81,6.29,1.03,1.11,1.4,28.73,14.9,12.9,19.1,10.4,81331,105407
"Prescott Valley-Prescott, AZ Metro Area",170,232396,7.03,3.65,5.16,0.69,0.72,1.1,35.3,20.8,12.2,12.2,3.8,53329,70548
"Providence-Warwick, RI-MA Metro Area",4991,1621099,10.34,4.75,6.46,1.4,0.98,1.65,30.27,15.7,13.2,18,8.3,70676,92573
"Provo-Orem, UT Metro Area",7170,633129,13.84,7.4,11.6,1.33,1.4,1.18,25.54,18.7,16,20.1,8.2,76864,96434
"Pueblo, CO Metro Area",-859,167412,9.87,5.28,4.61,0.81,0.76,0.7,27.36,18.9,11.8,11.9,4.2,49979,66079
"Punta Gorda, FL Metro Area",-258,185926,6,3.18,3,0.43,0.74,1.75,34.48,20.8,12.3,11.3,4.3,52724,72650
"Racine, WI Metro Area",847,195859,9.3,5.77,3.98,0.83,0.68,1.08,30.55,18.2,13.5,16.6,6.9,62556,81490
"Raleigh-Cary, NC Metro Area",10309,1362997,10.09,5.5,5.34,1.76,2.46,3.58,32.08,16.6,13.5,18.7,9.2,78706,104264
"Rapid City, SD Metro Area",1148,140653,10.74,4.69,4.49,1.11,0.6,1.73,31.16,19.5,14.3,14.5,4.5,59076,78148
"Reading, PA Metro Area",-278,419062,9.68,5.26,5.31,0.93,0.75,1.24,27.99,18,14.2,17.6,7,66154,85598
"Redding, CA Metro Area",256,179267,9.31,4.96,4.97,0.98,0.37,0.84,30.84,17.6,13.5,13.3,6,57139,77167
"Reno, NV Metro Area",1533,468268,11.11,4.82,5.81,1.32,0.97,2.01,33.25,18.5,13.9,16.9,7.3,68214,93405
"Richmond, VA Metro Area",5274,1282067,10.18,5.15,5.35,1.56,1.52,1.76,30.43,17.3,13.2,17.9,7.8,71223,98618
"Riverside-San Bernardino-Ontario, CA Metro Area",15693,4600396,11.18,6.26,6.56,1.21,0.61,0.98,24.13,17.6,13.3,17,8,68331,89733
"Roanoke, VA Metro Area",-447,313289,8.74,4.68,4.2,0.94,0.71,1.28,29.58,19.4,12.6,14.6,4.9,57642,78277
"Rochester, MN Metro Area",1866,219848,9.41,5.33,3.91,1.52,1.68,1.81,33.58,17.9,15.1,18.9,9.4,76787,99134
"Rochester, NY Metro Area",2332,1071784,10.07,4.93,6.03,1.42,1.37,1.99,31.87,17.9,13.1,16.1,6.4,61747,82434
"Rockford, IL Metro Area",883,336928,9.06,5.84,4.01,0.94,0.54,1.31,29.72,18.9,12.5,14.9,5.5,56899,74998
"Rocky Mount, NC Metro Area",812,146356,8.9,5.09,4.39,1.01,0.56,0.61,25.73,18.3,10.5,11.3,3.4,46482,62490
"Rome, GA Metro Area",499,97805,9.65,5.06,5.82,0.66,0.5,0.53,25.66,17.9,11,14,3.7,50657,71122
"Sacramento-Roseville-Folsom, CA Metro Area",11492,2338866,10.55,5.34,6.87,1.37,1.03,2.02,30.68,16.5,13,17.8,9.3,75533,100554
"Saginaw, MI Metro Area",-637,191166,9.64,5.51,5.9,0.8,0.48,1.2,28.92,19.3,10.6,12.1,4,49565,68757
"Salem, OR Metro Area",326,428472,10.62,5.38,4.88,0.83,0.67,0.79,28.5,19.6,13.9,16.4,6.2,62539,80435
"Salinas, CA Metro Area",1741,432977,11.26,6.41,6.2,1.25,0.71,1.01,22.8,17.5,14.7,17.1,8.3,76943,104485
"Salisbury, MD-DE Metro Area",1165,411137,8.82,4.57,5.45,0.93,0.79,1,30.65,18.8,13.5,15.7,6.2,62799,84276
"Salt Lake City, UT Metro Area",5888,1215955,11.89,6.18,5.52,1.5,1.36,1.79,28.94,18.8,15,19.8,8.5,77102,99517
"San Angelo, TX Metro Area",111,121472,12.38,5.17,6.81,0.94,0.62,0.45,26.28,18.9,12.3,15.4,5.1,57431,76019
"San Antonio-New Braunfels, TX Metro Area",8694,2510211,11.35,5.67,5.39,1.36,0.95,1.2,25.06,18.6,13,15.1,6.3,61437,83695
"San Diego-Chula Vista-Carlsbad, CA Metro Area",8706,3323970,12.84,4.98,7.35,1.56,1.62,2.95,29.49,15.8,12.7,18.4,10.1,82426,111241
"San Francisco-Oakland-Berkeley, CA Metro Area",16981,4709220,11.15,4.49,5.84,1.76,3.08,4.35,31.63,11.4,10.7,17.4,12.4,110837,154773
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",11550,1985926,11.91,5.08,6.35,1.97,4.89,9.02,29.63,10.4,9.5,17.6,13.4,129343,172472
"San Luis Obispo-Paso Robles, CA Metro Area",1101,282517,11.96,4.14,11.93,0.93,0.9,1.95,32.58,16.4,13.3,19.3,8.9,77948,100044
"Santa Cruz-Watsonville, CA Metro Area",1663,273170,11.33,4.76,12.02,1.8,1.41,2.29,30.39,12.8,12.9,16.9,12.1,89986,123689
"Santa Fe, NM Metro Area",112,150319,8.31,4.16,4.02,1.01,0.84,1.96,33.25,18.2,12.7,13.7,6.3,60668,86441
"Santa Maria-Santa Barbara, CA Metro Area",654,444895,12.72,5,11.71,1.5,0.98,1.88,27.76,16.3,12.8,17.4,8.7,78925,111731
"Santa Rosa-Petaluma, CA Metro Area",185,496801,9.45,4.87,6.07,0.96,0.79,1.75,32.82,15.5,14.1,19.3,10.9,86173,113067
"Savannah, GA Metro Area",2404,390211,11.5,5.08,6.74,1.86,0.67,1.57,29.2,17.8,14,15.3,6.1,60851,84276
"Scranton--Wilkes-Barre, PA Metro Area",1381,554787,9.63,4.75,4.73,1.04,0.72,0.93,29.59,18.1,13.4,13.4,4.9,53853,71452
"Seattle-Tacoma-Bellevue, WA Metro Area",40806,3928498,12.01,4.57,4.92,1.42,2.69,3.81,34.13,15.5,13.1,19.8,10.9,90790,121379
"Sebastian-Vero Beach, FL Metro Area",1128,156964,6.75,4.05,3.51,0.96,0.61,1.31,31.4,17.9,12.1,13.4,5.2,57945,89886
"Sebring-Avon Park, FL Metro Area",-35,104574,7.06,3.55,2.94,0.44,0.33,0.77,28.11,21.6,8.9,8,3.1,43708,63700
"Sheboygan, WI Metro Area",-751,115152,9.29,5.2,4.07,0.68,0.62,1.42,32.55,20.9,14.6,16.7,4.8,62101,77174
"Sherman-Denison, TX Metro Area",353,133527,8.77,5.19,4.99,0.91,0.56,0.91,26.7,19.7,14.3,14.7,4.8,58296,75711
"Shreveport-Bossier City, LA Metro Area",-1482,397590,10.16,5.22,4.31,1.02,0.46,0.8,26.25,16.1,11,11.5,4.2,46610,78030
"Sierra Vista-Douglas, AZ Metro Area",677,126442,10.23,5.14,4.34,0.94,1.03,1.29,31.68,19.5,12.6,12.6,4.3,51505,66022
"Sioux City, IA-NE-SD Metro Area",-518,144152,10.22,5.27,4.67,0.92,0.41,0.61,28.09,18.6,15.2,16.9,4.9,61399,78152
"Sioux Falls, SD Metro Area",498,264437,10.81,5.12,3.92,1.06,0.93,0.91,32.09,19.2,15.7,17.6,6.4,67713,85045
"South Bend-Mishawaka, IN-MI Metro Area",119,322494,10.03,5.05,6.33,1.55,0.79,1.29,29.25,19.2,12.4,13.7,4.6,55101,75787
"Spartanburg, SC Metro Area",1116,313791,9.92,5.18,4.92,1.17,0.77,1.34,27.43,19.5,13.9,11.9,4.2,53757,70899
"Spokane-Spokane Valley, WA Metro Area",4275,558635,10.81,4.71,5.67,1.08,0.81,1.26,32.48,18.8,13.3,14.6,5.8,59656,79819
"Springfield, IL Metro Area",-82,208224,8.88,5.22,4.12,1.31,0.96,0.92,32.31,17.1,14,16.5,6.6,62590,82422
"Springfield, MA Metro Area",1709,698537,10.53,4.88,8.8,1.54,0.9,1.28,29.27,16.5,12.2,15.8,7.1,61360,83331
"Springfield, MO Metro Area",956,466897,10.91,4.52,7.52,1.31,0.71,0.51,30.97,19.4,12.4,11.8,3.8,50496,67385
"Springfield, OH Metro Area",-76,134409,8.86,5.4,4.3,0.64,0.6,0.67,29.91,19.7,12.7,12.8,3.9,51504,65570
"St. Cloud, MN Metro Area",965,200264,11.66,5.21,8.81,0.95,0.59,0.61,29.71,18.4,15.6,15.8,6.8,64118,80754
"St. George, UT Metro Area",-858,172127,9.03,6.12,5.21,0.82,0.73,0.91,29.62,20.4,13.7,16.2,5.6,61747,83100
"St. Joseph, MO-KS Metro Area",274,124946,10.95,5.1,4.81,0.81,0.38,0.58,25.41,19.5,13.5,13,3.9,53298,67539
