name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Asheville, NC Metro Area",1684,454351,8.67,4.49,4.36,0.82,0.87,1.33,31.57,19,12.4,12.4,4.5,52735,72793
"Ashland, OH Micro Area",95,53536,9.06,4.8,6.27,0.77,0.27,0.55,27.26,20.9,14.3,12,3.4,52823,66426
"Ashtabula, OH Micro Area",-724,97830,9.11,5.14,2.65,0.67,0.28,0.41,25.9,19.9,11.9,10.2,3,46700,59932
"Astoria, OR Micro Area",-179,39102,9.16,4.63,3.9,0.63,0.58,0.77,32.65,19,13.5,15.4,4.5,54886,69890
"Atchison, KS Micro Area",-118,16268,9.31,4.7,12.31,0.38,0.26,0.45,25.39,18.8,11.7,14.7,3.3,50439,63780
"Athens-Clarke County, GA Metro Area",1751,208457,13.52,4.53,14.16,3.69,0.9,1.1,29.76,15.2,10.2,12.6,4.7,47214,70940
"Athens, OH Micro Area",2010,65917,16,3.58,25.64,3.23,0.69,0.99,25.78,15.4,11.7,10,3.7,40905,59302
"Athens, TN Micro Area",417,53053,8.81,5.54,3.37,0.29,0.46,1.04,24.41,18,10.1,11,3.4,43285,58406
"Athens, TX Micro Area",-228,81070,8.24,5.24,3.38,0.34,0.37,0.69,25.34,17.2,13.2,10.2,4.2,47355,66653
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",21453,5862424,10.13,5.94,5.22,1.47,1.65,2.13,29.83,17.8,13.3,16.2,7.3,68316,94723
"Atlantic City-Hammonton, NJ Metro Area",-284,266105,9.32,5.24,5.61,1.08,0.91,1.16,29.28,16.4,11.9,16.3,7.4,62110,86110
"Atmore, AL Micro Area",-309,37057,10.72,5.32,2.75,0.41,0.3,0.23,16.36,15.6,8.9,6.9,3,36275,50242
"Auburn-Opelika, AL Metro Area",-105,161152,14.27,4.61,14.75,3.09,0.8,1.78,29.77,16.6,11.6,13,5.5,51463,71547
"Auburn, IN Micro Area",-90,42927,9.45,5.75,3.52,0.66,0.44,0.96,29.23,21.3,15.9,11.7,4.1,56421,72425
