"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Vallejo, CA Metro Area","3401","441829","11.09","5.28","5.58","1.09","0.69","1.34","28.49","16.7","14.6","19.9","10","81472","100842"
"Victoria, TX Metro Area","-249","99674","10.11","5.74","3.89","0.5","0.61","1.32","22.91","16.7","13.2","14.7","6.1","57163","78766"
"Vineland-Bridgeton, NJ Metro Area","-271","151906","11.41","5.61","3.41","0.43","0.32","0.57","23.68","18.2","12.2","15.5","4.8","54149","72860"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","12174","1761729","12.27","4.87","6.71","1.66","1.16","1.65","30.39","18.8","14.4","17.1","6.8","66759","86062"
"Visalia, CA Metro Area","-1371","461898","10.89","7.24","5.49","0.75","0.23","0.36","19.51","17.3","11.5","12.1","4.9","49687","69493"
"Waco, TX Metro Area","-575","268361","11.6","5.29","8.94","1.29","0.51","0.73","24.91","16.9","11.1","12.7","4.5","49077","68140"
"Walla Walla, WA Metro Area","11","60365","11.86","5.09","9.03","0.68","0.53","1.37","30.66","18.5","11.8","15.7","5.7","57858","76351"
"Warner Robins, GA Metro Area","524","180652","10.46","5.48","7.26","1.59","1.17","1.39","28.47","18.7","13.2","14.8","6.2","58832","75092"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","27149","6196585","10.57","5.24","5.54","2.17","2.75","3.1","31.29","13.3","12.6","19.9","12.9","103751","134513"
"Waterloo-Cedar Falls, IA Metro Area","-571","169556","11.53","4.49","9.7","1.37","0.49","1.2","30.75","19.2","13.6","14.8","4.7","57495","76464"
"Watertown-Fort Drum, NY Metro Area","297","112842","16.03","4.72","4.2","0.86","0.52","0.76","29.33","19.4","14.6","12.8","3.5","52685","65932"
"Wausau-Weston, WI Metro Area","112","163140","8.76","5.08","3.89","0.51","0.63","0.84","32.38","19.1","16","15.6","4.5","61783","78853"
"Weirton-Steubenville, WV-OH Metro Area","538","118213","8.27","4.29","4.93","0.72","0.37","0.43","28.78","18.5","12.2","11.5","2.9","47314","61081"
"Wenatchee, WA Metro Area","-420","118252","9.54","5.94","3.56","0.51","0.46","0.92","28.91","20.5","12.8","14.5","6.2","59757","80416"
"Wheeling, WV-OH Metro Area","-176","141475","9.43","4.89","3.93","0.79","0.32","0.74","27.02","17.8","12.5","12.4","4.1","50390","69386"
"Wichita Falls, TX Metro Area","680","150715","12.77","4.46","5.71","1","0.61","0.8","25.9","18.3","12.1","12.6","3.9","49779","65600"
"Wichita, KS Metro Area","1031","637690","10.39","5.95","5.15","1.29","0.78","1.73","29.14","19.2","13.1","14.5","5.2","57379","74900"
"Williamsport, PA Metro Area","151","114330","9.9","4.56","5.69","0.57","0.5","0.82","29.27","19.8","14","14","3.7","54241","68006"
"Wilmington, NC Metro Area","524","288337","10.49","4.39","7.8","1.09","0.96","1.66","33.42","17.4","12.1","13.5","5.4","55265","78709"
"Winchester, VA-WV Metro Area","259","137621","8.81","5.24","3.65","1.21","0.83","1.01","28.63","20.1","14.4","17.2","7.3","67072","84142"
"Winston-Salem, NC Metro Area","981","666216","8.85","5.45","4.7","0.99","0.84","0.97","29.44","18","12.8","11.6","4.2","50774","71206"
"Worcester, MA-CT Metro Area","-1346","941338","9.97","5.39","6.28","1.53","1.33","2.22","30.26","15.8","12.9","18","9.1","73408","95390"
"Yakima, WA Metro Area","503","249697","10.24","6.49","3.53","0.72","0.22","0.36","22.63","20.2","13.2","11.3","3.9","51637","69036"
"York-Hanover, PA Metro Area","1564","445565","9.17","5.09","3.92","0.89","0.71","1.25","29.69","20.6","14.8","17.6","6.7","66457","82723"
"Youngstown-Warren-Boardman, OH-PA Metro Area","-1973","541846","8.99","5.12","4.13","0.71","0.58","0.96","30.08","18.3","11.9","11.8","3","47360","64175"
"Yuba City, CA Metro Area","837","172469","11.21","5.75","6","0.88","0.37","0.74","25.38","18.1","12.2","16.2","6.1","58551","76413"
"Yuma, AZ Metro Area","786","209468","12.74","6.03","5.16","0.57","0.25","0.67","23.55","18.6","12","10.1","3","45243","59526"
